datetime,lvl_cm,temp_C
2024-08-22 17:30:00,777.62,9.661
2024-08-22 18:00:00,777.42,9.586
2024-08-22 18:30:00,777.38,9.723
2024-08-22 19:00:00,777.45,9.934
2024-08-22 19:30:00,777.61,10.229
2024-08-22 20:00:00,777.81,10.623
2024-08-22 20:30:00,777.82,11.063
2024-08-22 21:00:00,778.02,11.537
2024-08-22 21:30:00,778.13,12.03
2024-08-22 22:00:00,778.14,12.469
2024-08-22 22:30:00,777.99,12.855
2024-08-22 23:00:00,778.2,13.189
2024-08-22 23:30:00,778.2,13.441
2024-08-23 00:00:00,777.13,13.619
2024-08-23 00:30:00,777.14,13.721
2024-08-23 01:00:00,777.05,13.749
2024-08-23 01:30:00,776.91,13.722
2024-08-23 02:00:00,776.68,13.637
2024-08-23 02:30:00,776.56,13.511
2024-08-23 03:00:00,776.49,13.359
2024-08-23 03:30:00,776.58,13.196
2024-08-23 04:00:00,776.14,13.029
2024-08-23 04:30:00,775.84,12.864
2024-08-23 05:00:00,775.73,12.703
2024-08-23 05:30:00,775.36,12.547
2024-08-23 06:00:00,775.24,12.396
2024-08-23 06:30:00,774.94,12.245
2024-08-23 07:00:00,774.78,12.096
2024-08-23 07:30:00,774.48,11.948
2024-08-23 08:00:00,774.13,11.799
2024-08-23 08:30:00,774.0,11.649
2024-08-23 09:00:00,773.91,11.5
2024-08-23 09:30:00,773.72,11.349
2024-08-23 10:00:00,773.68,11.201
2024-08-23 10:30:00,773.59,11.053
2024-08-23 11:00:00,773.57,10.906
2024-08-23 11:30:00,773.53,10.758
2024-08-23 12:00:00,773.47,10.613
2024-08-23 12:30:00,773.43,10.457
2024-08-23 13:00:00,773.64,10.306
2024-08-23 13:30:00,773.58,10.156
2024-08-23 14:00:00,773.54,10.009
2024-08-23 14:30:00,773.71,9.874
2024-08-23 15:00:00,773.72,9.737
2024-08-23 15:30:00,774.21,9.618
2024-08-23 16:00:00,774.37,9.51
2024-08-23 16:30:00,774.51,9.418
2024-08-23 17:00:00,774.74,9.392
2024-08-23 17:30:00,774.98,9.489
2024-08-23 18:00:00,775.52,9.597
2024-08-23 18:30:00,775.61,9.729
2024-08-23 19:00:00,775.66,9.907
2024-08-23 19:30:00,775.9,10.13
2024-08-23 20:00:00,776.19,10.421
2024-08-23 20:30:00,776.32,10.741
2024-08-23 21:00:00,776.29,11.061
2024-08-23 21:30:00,776.42,11.379
2024-08-23 22:00:00,776.41,11.656
2024-08-23 22:30:00,776.43,11.872
2024-08-23 23:00:00,776.09,12.026
2024-08-23 23:30:00,776.19,12.105
2024-08-24 00:00:00,776.12,12.131
2024-08-24 00:30:00,776.07,12.117
2024-08-24 01:00:00,775.78,12.06
2024-08-24 01:30:00,775.47,11.966
2024-08-24 02:00:00,775.23,11.847
2024-08-24 02:30:00,775.21,11.707
2024-08-24 03:00:00,774.98,11.561
2024-08-24 03:30:00,774.63,11.417
2024-08-24 04:00:00,774.61,11.272
2024-08-24 04:30:00,774.56,11.132
2024-08-24 05:00:00,774.37,10.992
2024-08-24 05:30:00,774.46,10.855
2024-08-24 06:00:00,774.66,10.725
2024-08-24 06:30:00,774.53,10.597
2024-08-24 07:00:00,774.66,10.47
2024-08-24 07:30:00,774.6,10.347
2024-08-24 08:00:00,774.63,10.232
2024-08-24 08:30:00,774.65,10.123
2024-08-24 09:00:00,774.3,10.026
2024-08-24 09:30:00,774.06,9.934
2024-08-24 10:00:00,774.26,9.847
2024-08-24 10:30:00,774.01,9.764
2024-08-24 11:00:00,774.44,9.684
2024-08-24 11:30:00,774.33,9.604
2024-08-24 12:00:00,774.21,9.524
2024-08-24 12:30:00,774.2,9.443
2024-08-24 13:00:00,774.36,9.355
2024-08-24 13:30:00,774.81,9.269
2024-08-24 14:00:00,774.53,9.173
2024-08-24 14:30:00,774.68,9.074
2024-08-24 15:00:00,775.12,8.975
2024-08-24 15:30:00,775.49,8.875
2024-08-24 16:00:00,776.17,8.776
2024-08-24 16:30:00,775.83,8.677
2024-08-24 17:00:00,775.92,8.593
2024-08-24 17:30:00,776.38,8.522
2024-08-24 18:00:00,776.32,8.478
2024-08-24 18:30:00,776.43,8.469
2024-08-24 19:00:00,776.41,8.491
2024-08-24 19:30:00,776.41,8.533
2024-08-24 20:00:00,776.55,8.605
2024-08-24 20:30:00,777.31,8.703
2024-08-24 21:00:00,777.39,8.845
2024-08-24 21:30:00,777.44,9.003
2024-08-24 22:00:00,777.19,9.178
2024-08-24 22:30:00,777.38,9.349
