datetime,lvl_cm,temp_C
2024-08-21 21:00:00,760.53,25.895
2024-08-21 21:30:00,806.1,12.591
2024-08-21 22:00:00,806.3,12.9
2024-08-21 22:30:00,806.22,13.313
2024-08-21 23:00:00,806.01,13.46
2024-08-21 23:30:00,805.62,13.359
2024-08-22 00:00:00,805.12,13.188
2024-08-22 00:30:00,804.71,13.008
2024-08-22 01:00:00,804.49,12.885
2024-08-22 01:30:00,804.3,12.77
2024-08-22 02:00:00,804.18,12.663
2024-08-22 02:30:00,804.11,12.538
2024-08-22 03:00:00,804.07,12.447
2024-08-22 03:30:00,804.1,12.35
2024-08-22 04:00:00,804.22,12.215
2024-08-22 04:30:00,804.16,12.087
2024-08-22 05:00:00,804.14,11.949
2024-08-22 05:30:00,804.02,11.813
2024-08-22 06:00:00,804.03,11.679
2024-08-22 06:30:00,803.96,11.535
2024-08-22 07:00:00,804.33,11.38
2024-08-22 07:30:00,804.37,11.24
2024-08-22 08:00:00,804.53,11.092
2024-08-22 08:30:00,804.48,10.938
2024-08-22 09:00:00,804.17,10.762
2024-08-22 09:30:00,804.06,10.628
2024-08-22 10:00:00,803.79,10.456
2024-08-22 10:30:00,804.43,10.322
2024-08-22 11:00:00,804.37,10.155
2024-08-22 11:30:00,804.44,9.97
2024-08-22 12:00:00,804.35,9.792
2024-08-22 12:30:00,804.41,9.634
2024-08-22 13:00:00,804.44,9.437
2024-08-22 13:30:00,804.11,9.29
2024-08-22 14:00:00,803.88,9.147
2024-08-22 14:30:00,803.53,9.022
2024-08-22 15:00:00,803.27,8.9
2024-08-22 15:30:00,803.0,8.817
2024-08-22 16:00:00,802.71,8.768
2024-08-22 16:30:00,802.58,8.761
2024-08-22 17:00:00,802.54,8.771
2024-08-22 17:30:00,802.53,8.786
2024-08-22 18:00:00,802.79,8.944
2024-08-22 18:30:00,802.84,9.067
2024-08-22 19:00:00,803.13,9.223
2024-08-22 19:30:00,803.67,9.748
2024-08-22 20:00:00,803.63,10.28
2024-08-22 20:30:00,803.48,10.734
2024-08-22 21:00:00,803.35,11.305
2024-08-22 21:30:00,803.21,11.904
2024-08-22 22:00:00,802.84,12.483
2024-08-22 22:30:00,802.39,13.005
2024-08-22 23:00:00,802.35,13.266
2024-08-22 23:30:00,801.98,13.173
2024-08-23 00:00:00,801.6,12.969
2024-08-23 00:30:00,801.33,12.801
2024-08-23 01:00:00,801.16,12.63
2024-08-23 01:30:00,801.01,12.458
2024-08-23 02:00:00,800.88,12.3
2024-08-23 02:30:00,800.83,12.165
2024-08-23 03:00:00,800.73,12.033
2024-08-23 03:30:00,800.65,11.915
2024-08-23 04:00:00,800.52,11.796
2024-08-23 04:30:00,800.36,11.656
2024-08-23 05:00:00,800.38,11.497
2024-08-23 05:30:00,800.15,11.364
2024-08-23 06:00:00,800.26,11.218
2024-08-23 06:30:00,800.33,11.107
2024-08-23 07:00:00,800.81,10.964
2024-08-23 07:30:00,800.76,10.888
2024-08-23 08:00:00,800.56,10.748
2024-08-23 08:30:00,800.53,10.642
2024-08-23 09:00:00,800.62,10.519
2024-08-23 09:30:00,800.4,10.375
2024-08-23 10:00:00,800.24,10.249
2024-08-23 10:30:00,800.11,10.105
2024-08-23 11:00:00,800.01,9.981
2024-08-23 11:30:00,799.83,9.841
