datetime,lvl_cm,temp_C
2024-08-26 21:30:00,759.56,18.876
2024-08-26 22:00:00,805.03,17.991
2024-08-26 22:30:00,804.26,17.891
2024-08-26 23:00:00,799.59,17.5
2024-08-26 23:30:00,804.1,18.239
2024-08-27 00:00:00,804.09,18.288
2024-08-27 00:30:00,804.12,18.164
2024-08-27 01:00:00,804.09,17.884
2024-08-27 01:30:00,804.16,17.51
2024-08-27 02:00:00,804.14,17.051
2024-08-27 02:30:00,804.39,16.523
2024-08-27 03:00:00,804.48,16.026
2024-08-27 03:30:00,804.66,15.615
2024-08-27 04:00:00,804.77,15.232
2024-08-27 04:30:00,804.78,14.899
2024-08-27 05:00:00,804.78,14.56
2024-08-27 05:30:00,804.76,14.234
2024-08-27 06:00:00,804.67,13.897
2024-08-27 06:30:00,804.59,13.535
2024-08-27 07:00:00,804.54,13.242
2024-08-27 07:30:00,804.54,12.888
2024-08-27 08:00:00,804.48,12.574
2024-08-27 08:30:00,804.35,12.28
2024-08-27 09:00:00,804.16,11.954
2024-08-27 09:30:00,804.08,11.695
2024-08-27 10:00:00,803.96,11.399
2024-08-27 10:30:00,803.73,11.117
2024-08-27 11:00:00,803.75,10.883
2024-08-27 11:30:00,803.74,10.634
2024-08-27 12:00:00,803.74,10.39
2024-08-27 12:30:00,803.77,10.126
2024-08-27 13:00:00,803.85,9.908
2024-08-27 13:30:00,803.88,9.667
2024-08-27 14:00:00,803.8,9.46
2024-08-27 14:30:00,803.85,9.287
2024-08-27 15:00:00,803.88,9.159
2024-08-27 15:30:00,803.77,9.126
2024-08-27 16:00:00,803.58,9.207
2024-08-27 16:30:00,803.68,9.412
2024-08-27 17:00:00,803.52,9.764
2024-08-27 17:30:00,803.55,10.287
2024-08-27 18:00:00,803.47,11.031
2024-08-27 18:30:00,803.35,11.947
2024-08-27 19:00:00,803.2,12.947
2024-08-27 19:30:00,803.05,14.0
2024-08-27 20:00:00,803.05,14.983
2024-08-27 20:30:00,802.9,15.876
2024-08-27 21:00:00,802.81,16.76
2024-08-27 21:30:00,802.57,17.499
2024-08-27 22:00:00,802.58,18.187
2024-08-27 22:30:00,802.43,18.687
2024-08-27 23:00:00,802.13,18.965
2024-08-27 23:30:00,802.12,19.112
2024-08-28 00:00:00,802.04,19.127
2024-08-28 00:30:00,802.05,18.952
2024-08-28 01:00:00,801.95,18.649
2024-08-28 01:30:00,802.02,18.276
2024-08-28 02:00:00,801.99,17.703
2024-08-28 02:30:00,802.06,17.191
2024-08-28 03:00:00,802.22,16.681
2024-08-28 03:30:00,802.44,16.227
2024-08-28 04:00:00,802.63,15.859
2024-08-28 04:30:00,802.67,15.517
2024-08-28 05:00:00,802.62,15.218
2024-08-28 05:30:00,802.6,14.892
2024-08-28 06:00:00,802.59,14.586
2024-08-28 06:30:00,802.45,14.277
2024-08-28 07:00:00,802.43,13.951
2024-08-28 07:30:00,802.42,13.632
2024-08-28 08:00:00,802.4,13.33
2024-08-28 08:30:00,802.27,13.034
2024-08-28 09:00:00,802.27,12.745
2024-08-28 09:30:00,802.22,12.461
2024-08-28 10:00:00,802.22,12.186
2024-08-28 10:30:00,802.14,11.927
2024-08-28 11:00:00,801.96,11.657
2024-08-28 11:30:00,801.81,11.401
2024-08-28 12:00:00,801.86,11.168
2024-08-28 12:30:00,801.9,10.919
2024-08-28 13:00:00,802.01,10.686
2024-08-28 13:30:00,802.07,10.477
2024-08-28 14:00:00,802.24,10.246
2024-08-28 14:30:00,802.19,10.06
2024-08-28 15:00:00,802.13,9.922
2024-08-28 15:30:00,802.11,9.879
