Serial_number:
2017487
Project ID:
YOSEHydroclimate
Location:
DelaneyCrk
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
9/26/2023,07:00:00 pm,0,761.41,15.645
9/26/2023,07:30:00 pm,0,759.28,17.811
9/26/2023,08:00:00 pm,0,787.33,9.680
9/26/2023,08:30:00 pm,0,810.39,5.606
9/26/2023,09:00:00 pm,0,810.26,6.192
9/26/2023,09:30:00 pm,0,810.26,6.675
9/26/2023,10:00:00 pm,0,810.09,7.087
9/26/2023,10:30:00 pm,0,809.90,7.312
9/26/2023,11:00:00 pm,0,809.82,7.401
9/26/2023,11:30:00 pm,0,809.93,7.498
9/27/2023,12:00:00 am,0,810.10,7.573
9/27/2023,12:30:00 am,0,810.22,7.571
9/27/2023,01:00:00 am,0,810.13,7.532
9/27/2023,01:30:00 am,0,809.94,7.481
9/27/2023,02:00:00 am,0,809.75,7.425
9/27/2023,02:30:00 am,0,809.79,7.352
9/27/2023,03:00:00 am,0,809.93,7.264
9/27/2023,03:30:00 am,0,809.98,7.147
9/27/2023,04:00:00 am,0,809.88,7.018
9/27/2023,04:30:00 am,0,809.98,6.863
9/27/2023,05:00:00 am,0,810.02,6.697
9/27/2023,05:30:00 am,0,810.06,6.523
9/27/2023,06:00:00 am,0,809.91,6.337
9/27/2023,06:30:00 am,0,810.03,6.147
9/27/2023,07:00:00 am,0,809.82,5.961
9/27/2023,07:30:00 am,0,809.77,5.779
9/27/2023,08:00:00 am,0,809.69,5.599
9/27/2023,08:30:00 am,0,809.60,5.432
9/27/2023,09:00:00 am,0,809.39,5.265
9/27/2023,09:30:00 am,0,809.17,5.106
9/27/2023,10:00:00 am,0,808.88,4.953
9/27/2023,10:30:00 am,0,809.13,4.801
9/27/2023,11:00:00 am,0,809.06,4.659
9/27/2023,11:30:00 am,0,809.09,4.515
9/27/2023,12:00:00 pm,0,809.05,4.371
9/27/2023,12:30:00 pm,0,808.91,4.225
9/27/2023,01:00:00 pm,0,809.13,4.089
9/27/2023,01:30:00 pm,0,809.26,3.957
9/27/2023,02:00:00 pm,0,809.30,3.829
9/27/2023,02:30:00 pm,0,809.47,3.705
9/27/2023,03:00:00 pm,0,809.50,3.588
9/27/2023,03:30:00 pm,0,809.31,3.491
9/27/2023,04:00:00 pm,0,809.29,3.424
9/27/2023,04:30:00 pm,0,809.38,3.413
9/27/2023,05:00:00 pm,0,809.16,3.476
9/27/2023,05:30:00 pm,0,809.15,3.582
9/27/2023,06:00:00 pm,0,809.06,3.782
9/27/2023,06:30:00 pm,0,808.96,4.067
9/27/2023,07:00:00 pm,0,808.78,4.454
9/27/2023,07:30:00 pm,0,808.74,4.954
9/27/2023,08:00:00 pm,0,808.58,5.560
9/27/2023,08:30:00 pm,0,808.51,6.232
9/27/2023,09:00:00 pm,0,808.27,6.825
9/27/2023,09:30:00 pm,0,808.08,7.290
9/27/2023,10:00:00 pm,0,807.88,7.689
9/27/2023,10:30:00 pm,0,807.67,7.908
