Serial_number:
2184904
Project ID:

Location:
delaneyCrk
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/21/2024,09:00:00 pm,0,760.53,25.895
8/21/2024,09:30:00 pm,0,806.10,12.591
8/21/2024,10:00:00 pm,0,806.30,12.900
8/21/2024,10:30:00 pm,0,806.22,13.313
8/21/2024,11:00:00 pm,0,806.01,13.460
8/21/2024,11:30:00 pm,0,805.62,13.359
8/22/2024,12:00:00 am,0,805.12,13.188
8/22/2024,12:30:00 am,0,804.71,13.008
8/22/2024,01:00:00 am,0,804.49,12.885
8/22/2024,01:30:00 am,0,804.30,12.770
8/22/2024,02:00:00 am,0,804.18,12.663
8/22/2024,02:30:00 am,0,804.11,12.538
8/22/2024,03:00:00 am,0,804.07,12.447
8/22/2024,03:30:00 am,0,804.10,12.350
8/22/2024,04:00:00 am,0,804.22,12.215
8/22/2024,04:30:00 am,0,804.16,12.087
8/22/2024,05:00:00 am,0,804.14,11.949
8/22/2024,05:30:00 am,0,804.02,11.813
8/22/2024,06:00:00 am,0,804.03,11.679
8/22/2024,06:30:00 am,0,803.96,11.535
8/22/2024,07:00:00 am,0,804.33,11.380
8/22/2024,07:30:00 am,0,804.37,11.240
8/22/2024,08:00:00 am,0,804.53,11.092
8/22/2024,08:30:00 am,0,804.48,10.938
8/22/2024,09:00:00 am,0,804.17,10.762
8/22/2024,09:30:00 am,0,804.06,10.628
8/22/2024,10:00:00 am,0,803.79,10.456
8/22/2024,10:30:00 am,0,804.43,10.322
8/22/2024,11:00:00 am,0,804.37,10.155
8/22/2024,11:30:00 am,0,804.44,9.970
8/22/2024,12:00:00 pm,0,804.35,9.792
8/22/2024,12:30:00 pm,0,804.41,9.634
8/22/2024,01:00:00 pm,0,804.44,9.437
8/22/2024,01:30:00 pm,0,804.11,9.290
8/22/2024,02:00:00 pm,0,803.88,9.147
8/22/2024,02:30:00 pm,0,803.53,9.022
8/22/2024,03:00:00 pm,0,803.27,8.900
8/22/2024,03:30:00 pm,0,803.00,8.817
8/22/2024,04:00:00 pm,0,802.71,8.768
8/22/2024,04:30:00 pm,0,802.58,8.761
8/22/2024,05:00:00 pm,0,802.54,8.771
8/22/2024,05:30:00 pm,0,802.53,8.786
8/22/2024,06:00:00 pm,0,802.79,8.944
8/22/2024,06:30:00 pm,0,802.84,9.067
8/22/2024,07:00:00 pm,0,803.13,9.223
