Serial_number:
2184917
Project ID:

Location:
TR120
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/26/2024,09:30:00 pm,0,759.56,18.876
8/26/2024,10:00:00 pm,0,805.03,17.991
8/26/2024,10:30:00 pm,0,804.26,17.891
8/26/2024,11:00:00 pm,0,799.59,17.500
8/26/2024,11:30:00 pm,0,804.10,18.239
8/27/2024,12:00:00 am,0,804.09,18.288
8/27/2024,12:30:00 am,0,804.12,18.164
8/27/2024,01:00:00 am,0,804.09,17.884
8/27/2024,01:30:00 am,0,804.16,17.510
8/27/2024,02:00:00 am,0,804.14,17.051
8/27/2024,02:30:00 am,0,804.39,16.523
8/27/2024,03:00:00 am,0,804.48,16.026
8/27/2024,03:30:00 am,0,804.66,15.615
8/27/2024,04:00:00 am,0,804.77,15.232
8/27/2024,04:30:00 am,0,804.78,14.899
8/27/2024,05:00:00 am,0,804.78,14.560
8/27/2024,05:30:00 am,0,804.76,14.234
8/27/2024,06:00:00 am,0,804.67,13.897
8/27/2024,06:30:00 am,0,804.59,13.535
8/27/2024,07:00:00 am,0,804.54,13.242
8/27/2024,07:30:00 am,0,804.54,12.888
8/27/2024,08:00:00 am,0,804.48,12.574
8/27/2024,08:30:00 am,0,804.35,12.280
8/27/2024,09:00:00 am,0,804.16,11.954
8/27/2024,09:30:00 am,0,804.08,11.695
8/27/2024,10:00:00 am,0,803.96,11.399
8/27/2024,10:30:00 am,0,803.73,11.117
8/27/2024,11:00:00 am,0,803.75,10.883
8/27/2024,11:30:00 am,0,803.74,10.634
8/27/2024,12:00:00 pm,0,803.74,10.390
8/27/2024,12:30:00 pm,0,803.77,10.126
8/27/2024,01:00:00 pm,0,803.85,9.908
8/27/2024,01:30:00 pm,0,803.88,9.667
8/27/2024,02:00:00 pm,0,803.80,9.460
8/27/2024,02:30:00 pm,0,803.85,9.287
8/27/2024,03:00:00 pm,0,803.88,9.159
8/27/2024,03:30:00 pm,0,803.77,9.126
8/27/2024,04:00:00 pm,0,803.58,9.207
8/27/2024,04:30:00 pm,0,803.68,9.412
8/27/2024,05:00:00 pm,0,803.52,9.764
8/27/2024,05:30:00 pm,0,803.55,10.287
8/27/2024,06:00:00 pm,0,803.47,11.031
8/27/2024,06:30:00 pm,0,803.35,11.947
8/27/2024,07:00:00 pm,0,803.20,12.947
8/27/2024,07:30:00 pm,0,803.05,14.000
8/27/2024,08:00:00 pm,0,803.05,14.983
8/27/2024,08:30:00 pm,0,802.90,15.876
8/27/2024,09:00:00 pm,0,802.81,16.760
8/27/2024,09:30:00 pm,0,802.57,17.499
8/27/2024,10:00:00 pm,0,802.58,18.187
8/27/2024,10:30:00 pm,0,802.43,18.687
8/27/2024,11:00:00 pm,0,802.13,18.965
8/27/2024,11:30:00 pm,0,802.12,19.112
8/28/2024,12:00:00 am,0,802.04,19.127
8/28/2024,12:30:00 am,0,802.05,18.952
8/28/2024,01:00:00 am,0,801.95,18.649
8/28/2024,01:30:00 am,0,802.02,18.276
8/28/2024,02:00:00 am,0,801.99,17.703
8/28/2024,02:30:00 am,0,802.06,17.191
8/28/2024,03:00:00 am,0,802.22,16.681
