Serial_number:
2042784
Project ID:
Hydroclimate
Location:
DanaFkBugCamp
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/16/2023,06:00:00 pm,0,766.25,18.598
8/16/2023,06:30:00 pm,0,767.38,19.193
8/16/2023,07:00:00 pm,0,767.27,17.617
8/16/2023,07:30:00 pm,0,767.27,16.934
8/16/2023,08:00:00 pm,0,803.86,11.891
8/16/2023,08:30:00 pm,0,803.64,11.245
8/16/2023,09:00:00 pm,0,803.27,11.514
8/16/2023,09:30:00 pm,0,804.01,11.994
8/16/2023,10:00:00 pm,0,804.63,12.283
8/16/2023,10:30:00 pm,0,804.26,12.416
8/16/2023,11:00:00 pm,0,803.95,12.515
8/16/2023,11:30:00 pm,0,803.75,12.577
8/17/2023,12:00:00 am,0,804.04,12.624
8/17/2023,12:30:00 am,0,805.01,12.670
8/17/2023,01:00:00 am,0,805.37,12.684
8/17/2023,01:30:00 am,0,805.89,12.683
8/17/2023,02:00:00 am,0,805.99,12.672
8/17/2023,02:30:00 am,0,805.83,12.643
8/17/2023,03:00:00 am,0,805.85,12.581
8/17/2023,03:30:00 am,0,806.01,12.492
8/17/2023,04:00:00 am,0,806.04,12.381
8/17/2023,04:30:00 am,0,805.77,12.244
8/17/2023,05:00:00 am,0,805.50,12.083
8/17/2023,05:30:00 am,0,805.59,11.903
8/17/2023,06:00:00 am,0,805.28,11.721
8/17/2023,06:30:00 am,0,805.16,11.549
8/17/2023,07:00:00 am,0,804.96,11.389
8/17/2023,07:30:00 am,0,804.81,11.239
8/17/2023,08:00:00 am,0,804.47,11.096
8/17/2023,08:30:00 am,0,804.04,10.964
8/17/2023,09:00:00 am,0,803.66,10.841
8/17/2023,09:30:00 am,0,803.74,10.728
8/17/2023,10:00:00 am,0,803.77,10.627
8/17/2023,10:30:00 am,0,803.95,10.539
8/17/2023,11:00:00 am,0,803.25,10.460
8/17/2023,11:30:00 am,0,802.73,10.384
8/17/2023,12:00:00 pm,0,802.54,10.308
8/17/2023,12:30:00 pm,0,802.46,10.227
8/17/2023,01:00:00 pm,0,802.71,10.133
8/17/2023,01:30:00 pm,0,802.96,10.031
8/17/2023,02:00:00 pm,0,803.18,9.924
8/17/2023,02:30:00 pm,0,802.84,9.823
8/17/2023,03:00:00 pm,0,802.82,9.735
8/17/2023,03:30:00 pm,0,802.96,9.665
8/17/2023,04:00:00 pm,0,802.90,9.627
8/17/2023,04:30:00 pm,0,802.59,9.626
8/17/2023,05:00:00 pm,0,802.77,9.689
8/17/2023,05:30:00 pm,0,802.78,9.792
8/17/2023,06:00:00 pm,0,802.67,9.899
8/17/2023,06:30:00 pm,0,802.55,10.076
8/17/2023,07:00:00 pm,0,802.49,10.369
8/17/2023,07:30:00 pm,0,802.33,10.730
8/17/2023,08:00:00 pm,0,802.00,11.132
8/17/2023,08:30:00 pm,0,801.88,11.714
8/17/2023,09:00:00 pm,0,801.69,12.311
8/17/2023,09:30:00 pm,0,801.28,12.816
8/17/2023,10:00:00 pm,0,800.92,13.239
8/17/2023,10:30:00 pm,0,800.63,13.549
8/17/2023,11:00:00 pm,0,800.18,13.820
8/17/2023,11:30:00 pm,0,800.23,14.075
8/18/2023,12:00:00 am,0,800.12,14.305
8/18/2023,12:30:00 am,0,799.92,14.517
8/18/2023,01:00:00 am,0,799.96,14.651
8/18/2023,01:30:00 am,0,799.72,14.713
