Serial_number:
2089880
Project ID:
YOSEHydroclimate
Location:
LyellBlwMaclure
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/22/2023,11:00:00 pm,0,746.04,18.391
8/22/2023,11:30:00 pm,0,726.51,17.641
8/23/2023,12:00:00 am,0,718.94,16.537
8/23/2023,12:30:00 am,0,718.89,15.005
8/23/2023,01:00:00 am,0,718.92,12.417
8/23/2023,01:30:00 am,0,718.91,10.775
8/23/2023,02:00:00 am,0,719.00,9.548
8/23/2023,02:30:00 am,0,719.09,8.269
8/23/2023,03:00:00 am,0,719.02,6.658
8/23/2023,03:30:00 am,0,719.07,5.631
8/23/2023,04:00:00 am,0,719.32,5.104
8/23/2023,04:30:00 am,0,719.65,5.095
8/23/2023,05:00:00 am,0,719.72,4.735
8/23/2023,05:30:00 am,0,719.67,5.043
8/23/2023,06:00:00 am,0,719.77,5.367
8/23/2023,06:30:00 am,0,719.80,5.391
8/23/2023,07:00:00 am,0,719.79,5.346
8/23/2023,07:30:00 am,0,719.75,5.190
8/23/2023,08:00:00 am,0,719.76,4.988
8/23/2023,08:30:00 am,0,719.67,4.839
8/23/2023,09:00:00 am,0,719.65,3.955
8/23/2023,09:30:00 am,0,719.59,3.382
8/23/2023,10:00:00 am,0,719.53,3.346
8/23/2023,10:30:00 am,0,719.48,3.092
8/23/2023,11:00:00 am,0,719.46,2.745
8/23/2023,11:30:00 am,0,719.39,2.294
8/23/2023,12:00:00 pm,0,719.33,1.942
8/23/2023,12:30:00 pm,0,719.24,1.671
8/23/2023,01:00:00 pm,0,719.29,1.406
8/23/2023,01:30:00 pm,0,719.45,1.039
8/23/2023,02:00:00 pm,0,719.51,0.938
8/23/2023,02:30:00 pm,0,719.39,1.411
8/23/2023,03:00:00 pm,0,719.59,3.969
8/23/2023,03:30:00 pm,0,719.01,12.927
8/23/2023,04:00:00 pm,0,718.88,22.121
8/23/2023,04:30:00 pm,0,719.25,17.858
8/23/2023,05:00:00 pm,0,717.85,25.664
8/23/2023,05:30:00 pm,0,721.11,31.577
8/23/2023,06:00:00 pm,0,728.89,21.162
8/23/2023,06:30:00 pm,0,726.93,39.621
8/23/2023,07:00:00 pm,0,730.27,8.650
8/23/2023,07:30:00 pm,0,764.30,7.727
8/23/2023,08:00:00 pm,0,763.74,8.395
8/23/2023,08:30:00 pm,0,763.90,8.954
8/23/2023,09:00:00 pm,0,763.52,9.359
8/23/2023,09:30:00 pm,0,763.15,9.639
8/23/2023,10:00:00 pm,0,762.82,9.798
8/23/2023,10:30:00 pm,0,763.20,9.829
8/23/2023,11:00:00 pm,0,762.31,9.816
8/23/2023,11:30:00 pm,0,762.79,9.767
8/24/2023,12:00:00 am,0,763.12,9.656
8/24/2023,12:30:00 am,0,763.26,9.531
8/24/2023,01:00:00 am,0,762.84,9.376
8/24/2023,01:30:00 am,0,763.95,9.252
8/24/2023,02:00:00 am,0,763.49,9.113
8/24/2023,02:30:00 am,0,763.50,8.913
8/24/2023,03:00:00 am,0,764.44,8.709
8/24/2023,03:30:00 am,0,764.49,8.583
8/24/2023,04:00:00 am,0,765.15,8.478
8/24/2023,04:30:00 am,0,765.22,8.357
8/24/2023,05:00:00 am,0,765.20,8.226
8/24/2023,05:30:00 am,0,765.35,8.082
8/24/2023,06:00:00 am,0,764.45,7.889
8/24/2023,06:30:00 am,0,765.10,7.679
8/24/2023,07:00:00 am,0,765.38,7.490
8/24/2023,07:30:00 am,0,764.55,7.300
8/24/2023,08:00:00 am,0,764.49,7.125
8/24/2023,08:30:00 am,0,763.77,6.975
8/24/2023,09:00:00 am,0,764.95,6.833
8/24/2023,09:30:00 am,0,764.37,6.711
8/24/2023,10:00:00 am,0,764.16,6.582
8/24/2023,10:30:00 am,0,764.10,6.464
8/24/2023,11:00:00 am,0,763.99,6.364
8/24/2023,11:30:00 am,0,763.43,6.188
8/24/2023,12:00:00 pm,0,762.84,5.939
8/24/2023,12:30:00 pm,0,763.05,5.681
8/24/2023,01:00:00 pm,0,762.91,5.439
8/24/2023,01:30:00 pm,0,762.97,5.226
8/24/2023,02:00:00 pm,0,762.75,5.069
8/24/2023,02:30:00 pm,0,763.17,4.984
8/24/2023,03:00:00 pm,0,762.79,4.930
8/24/2023,03:30:00 pm,0,762.88,4.989
8/24/2023,04:00:00 pm,0,762.65,5.106
8/24/2023,04:30:00 pm,0,762.66,5.246
8/24/2023,05:00:00 pm,0,762.35,5.549
8/24/2023,05:30:00 pm,0,762.66,6.049
8/24/2023,06:00:00 pm,0,762.08,6.556
8/24/2023,06:30:00 pm,0,761.85,6.815
8/24/2023,07:00:00 pm,0,762.46,6.987
8/24/2023,07:30:00 pm,0,762.12,7.285
8/24/2023,08:00:00 pm,0,761.43,7.714
8/24/2023,08:30:00 pm,0,762.18,7.812
8/24/2023,09:00:00 pm,0,762.23,7.768
8/24/2023,09:30:00 pm,0,762.27,7.638
8/24/2023,10:00:00 pm,0,762.24,7.611
8/24/2023,10:30:00 pm,0,761.69,7.630
8/24/2023,11:00:00 pm,0,761.80,7.623
8/24/2023,11:30:00 pm,0,761.54,7.669
8/25/2023,12:00:00 am,0,761.90,7.701
8/25/2023,12:30:00 am,0,761.55,7.720
8/25/2023,01:00:00 am,0,762.19,7.712
8/25/2023,01:30:00 am,0,761.30,7.624
8/25/2023,02:00:00 am,0,762.47,7.536
8/25/2023,02:30:00 am,0,762.04,7.429
8/25/2023,03:00:00 am,0,762.12,7.325
8/25/2023,03:30:00 am,0,761.97,7.203
8/25/2023,04:00:00 am,0,762.40,7.113
8/25/2023,04:30:00 am,0,762.94,7.074
8/25/2023,05:00:00 am,0,763.31,7.038
8/25/2023,05:30:00 am,0,762.91,6.997
8/25/2023,06:00:00 am,0,763.40,6.951
8/25/2023,06:30:00 am,0,763.57,6.887
8/25/2023,07:00:00 am,0,763.00,6.828
8/25/2023,07:30:00 am,0,762.91,6.761
8/25/2023,08:00:00 am,0,762.78,6.703
